array,filename,row,col,mean_intensity,area,solidity,circularity,max_gradient,kmeans_4,dbscan,gmm,agglomerative,spectral
Array_3Crop,"Array_3Crop_17,20.bmp",17,20,71.080810546875,411.5,0.5358072916666666,0.2489440346596759,47.51841748206689,0,0,2,0,0
Array_3Crop,"Array_3Crop_17,21.bmp",17,21,70.3448093220339,301.0,0.4452662721893491,0.14408394682939638,36.0,0,0,2,0,0
Array_3Crop,"Array_3Crop_17,3.bmp",17,3,72.69189453125,333.0,0.4959046909903202,0.21901729767527894,33.734255586866,0,0,2,0,0
Array_3Crop,"Array_3Crop_17,4.bmp",17,4,72.326171875,327.5,0.5504201680672269,0.2553483518239962,29.832867780352597,0,0,2,0,0
Array_3Crop,"Array_3Crop_17,5.bmp",17,5,73.955810546875,328.0,0.5355102040816326,0.22436467913366986,34.438350715445125,0,0,2,0,0
Array_3Crop,"Array_3Crop_17,6.bmp",17,6,72.169677734375,332.5,0.5807860262008734,0.2518224139043417,39.6232255123179,0,0,2,0,0
Array_3Crop,"Array_3Crop_17,7.bmp",17,7,71.500244140625,337.0,0.5302911093627065,0.23218063960958146,34.0,0,0,2,0,0
Array_3Crop,"Array_3Crop_17,8.bmp",17,8,71.152587890625,338.5,0.5558292282430214,0.25500612326589234,34.23448553724738,0,0,2,0,0
Array_3Crop,"Array_3Crop_17,9.bmp",17,9,70.8642578125,321.0,0.5863013698630137,0.26344737242104027,31.144823004794873,0,0,2,0,0
Array_3Crop,"Array_3Crop_18,1.bmp",18,1,71.94207974137932,502.0,0.4333189469141131,0.12279911323421375,38.18376618407357,0,3,1,0,0
Array_3Crop,"Array_3Crop_18,10.bmp",18,10,70.246826171875,341.5,0.5908304498269896,0.2222607288416505,32.984845004941285,0,0,2,0,0
Array_3Crop,"Array_3Crop_18,11.bmp",18,11,71.7646484375,548.0,0.4538302277432712,0.09831973809764777,74.14849964766651,0,-1,1,0,0
Array_3Crop,"Array_3Crop_18,12.bmp",18,12,71.5908203125,316.0,0.45664739884393063,0.20887199952187113,47.265209192385896,0,0,2,0,0
Array_3Crop,"Array_3Crop_18,13.bmp",18,13,71.5107421875,350.5,0.4172619047619048,0.13806560861313144,36.87817782917155,0,0,2,0,0
Array_3Crop,"Array_3Crop_18,14.bmp",18,14,71.83935546875,336.5,0.44334650856389984,0.14306141908567385,34.17601498127012,0,0,2,0,0
Array_3Crop,"Array_3Crop_18,15.bmp",18,15,71.854248046875,330.5,0.49699248120300754,0.24271219027442506,36.05551275463989,0,0,2,0,0
Array_3Crop,"Array_3Crop_18,16.bmp",18,16,72.10595703125,318.0,0.5031645569620253,0.2157881409698643,31.144823004794873,0,0,2,0,0
