array,row,col,filename,defect_type,layer_layer_missing,layer_layer_collapsed,layer_layer_stitching,center_mean,center_std,center_edge_contrast,mean_intensity,dark_ratio,contour_area,stitching_score,max_intensity_jump,rotation_asymmetry,neighbor_deviation,anisotropy,curvature_irregularity,radial_deviation,lof_score,is_lof_outlier
Array_1Crop,11,7,"Array_1Crop_11,7.bmp",Good,2,2.0,1.0,61.5595703125,10.391852193082263,-7.3330078125,67.059326171875,0.880126953125,0.2998046875,33.472753906250006,1.578125,15.974360709112595,4.640401760050739,0.03021224782931731,39.49724093657137,13.993429689201536,1.1626062487759359,0.0
Array_1Crop,11,8,"Array_1Crop_11,8.bmp",Good,2,2.0,1.0,64.1435546875,10.071613568053372,-8.0888671875,70.210205078125,0.81689453125,0.3311767578125,33.43115234375,1.90625,14.260722046064549,1.1778130868502945,0.07718321854879799,20.00440998988207,6.720993362228992,1.2230175865674817,0.0
Array_1Crop,11,9,"Array_1Crop_11,9.bmp",Good,0,2.0,0.0,64.5537109375,9.075262882428964,-5.322265625,68.54541015625,0.90576171875,0.2823486328125,19.382031249999997,1.90625,12.367613026761264,0.2919939644461238,0.16352685657480429,15.720219912310142,9.202974108477369,1.0073786421566762,0.0
Array_1Crop,12,1,"Array_1Crop_12,1.bmp",Good,2,2.0,0.0,60.71875,7.4056998195180945,-8.90765449438203,67.43723516949153,0.8784427966101694,0.3358050847457627,21.616048728813567,2.5,12.087840996701944,4.755194317829159,0.10840854169001334,15.622134686494753,17.996201210368955,1.2750090717865212,0.0
Array_1Crop,12,10,"Array_1Crop_12,10.bmp",Good,0,2.0,0.0,64.177734375,7.717652524695794,-2.0641276041666714,65.725830078125,0.984130859375,0.373779296875,16.993457031250003,2.21875,11.309887732864865,1.5875633179015944,0.28469794603421855,8.42852437021929,16.232907660890373,1.0355396216667094,0.0
Array_1Crop,12,11,"Array_1Crop_12,11.bmp",Stitching,0,2.0,2.0,63.5771484375,6.352280692286142,-2.529296875,65.47412109375,0.98291015625,0.3948974609375,27.776953125000006,7.484375,,,,,,,
Array_1Crop,12,12,"Array_1Crop_12,12.bmp",Stitching,2,0.0,2.0,62.1669921875,6.9979380568003,-8.994140625,68.91259765625,0.90234375,0.4984130859375,31.042773437500003,7.484375,,,,,,,
Array_1Crop,12,13,"Array_1Crop_12,13.bmp",Missing,1,,,87.2353515625,0.7045335013530646,5.711588541666671,,,,,,,,,,,,
Array_1Crop,12,14,"Array_1Crop_12,14.bmp",Collapsed,2,1.0,,51.052734375,12.804995986359907,-19.95052083333333,66.015625,0.768798828125,0.3284912109375,,,,,,,,,
Array_1Crop,12,15,"Array_1Crop_12,15.bmp",Collapsed,2,1.0,,53.4560546875,12.79060715171525,-16.1611328125,65.576904296875,0.81298828125,0.329345703125,,,,,,,,,
Array_1Crop,12,16,"Array_1Crop_12,16.bmp",Good,2,2.0,0.0,62.1630859375,7.502848719952292,-9.2744140625,69.118896484375,0.91015625,0.3604736328125,19.943652343750003,1.546875,7.513861045046958,1.0284914477825908,0.10805937873806304,3.2909374236902096,10.27253436463486,1.0174617529522991,0.0
Array_1Crop,12,17,"Array_1Crop_12,17.bmp",Good,2,2.0,0.0,62.4462890625,7.366324737288798,-8.594401041666671,68.89208984375,0.904296875,0.364501953125,19.742968750000003,1.8125,7.751233063855319,1.5776035167200189,0.09955520110031335,5.509099239170213,10.018110459440203,1.0333374821608665,0.0
